196473852,Draw
195473826,Draw
123974658,Draw
132468759,Draw
154982673,Draw
196328745,Draw
145973286,Draw
173289465,Draw
156894732,Draw
142879635,Draw
164297358,Draw
197425836,Draw
132864957,Draw
164295873,Draw
128549376,Draw
152483796,Draw
152364789,Draw
168752394,Draw
198247365,Draw
178542693,Draw
124695873,Draw
159647823,Draw
124587396,Draw
128364597,Draw
195762843,Draw
123489657,Draw
196487325,Draw
164782593,Draw
178295463,Draw
175289346,Draw
137928546,Draw
186379245,Draw
187953642,Draw
153289746,Draw
145963782,Draw
123967854,Draw
154987326,Draw
196583247,Draw
192385746,Draw
159742863,Draw
153792468,Draw
156493287,Draw
125649378,Draw
128369547,Draw
185964237,Draw
142369857,Draw
128574396,Draw
157463982,Draw
197432658,Draw
168732495,Draw
128759463,Draw
